Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM2328539	CYR (88)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328539/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190716	SRX2190716	Joseph R Ecker	"Sep 27, 2016"
GSM2328540	LDV-18 (108)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328540/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190717	SRX2190717	Joseph R Ecker	"Sep 27, 2016"
GSM2328541	Borky1 (428)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328541/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190718	SRX2190718	Joseph R Ecker	"Sep 27, 2016"
GSM2328542	KYC-33 (801)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328542/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190719	SRX2190719	Joseph R Ecker	"Sep 27, 2016"
GSM2328543	LIN S-5 (915)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328543/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190720	SRX2190720	Joseph R Ecker	"Sep 27, 2016"
GSM2328544	MNF-Pot-21 (1853)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328544/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190721	SRX2190721	Joseph R Ecker	"Sep 27, 2016"
GSM2328545	MNF-Pot-75 (1872)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328545/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190722	SRX2190722	Joseph R Ecker	"Sep 27, 2016"
GSM2328546	MNF-Pin-40 (2017)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328546/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190723	SRX2190723	Joseph R Ecker	"Sep 27, 2016"
GSM2328547	Paw-26 (2171)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328547/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190724	SRX2190724	Joseph R Ecker	"Sep 27, 2016"
GSM2328548	SLSP-31 (2276)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328548/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190725	SRX2190725	Joseph R Ecker	"Sep 27, 2016"
GSM2328549	UKSW06-226 (4826)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328549/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190726	SRX2190726	Joseph R Ecker	"Sep 27, 2016"
GSM2328550	UKSW06-240 (4840)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328550/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190727	SRX2190727	Joseph R Ecker	"Sep 27, 2016"
GSM2328551	UKSW06-257 (4857)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328551/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190728	SRX2190728	Joseph R Ecker	"Sep 27, 2016"
GSM2328552	UKSE06-362 (5165)	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328552/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190729	SRX2190729	Joseph R Ecker	"Sep 27, 2016"
GSM2328553	UKSE06-541 (5279)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328553/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190730	SRX2190730	Joseph R Ecker	"Sep 27, 2016"
GSM2328554	UKNW06-102 (5395)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328554/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190731	SRX2190731	Joseph R Ecker	"Sep 27, 2016"
GSM2328555	UKNW06-233 (5486)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328555/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190732	SRX2190732	Joseph R Ecker	"Sep 27, 2016"
GSM2328556	UKNW06-354 (5535)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328556/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190733	SRX2190733	Joseph R Ecker	"Sep 27, 2016"
GSM2328557	Cal-2 (5720)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328557/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190734	SRX2190734	Joseph R Ecker	"Sep 27, 2016"
GSM2328558	For-2 (5741)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328558/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190735	SRX2190735	Joseph R Ecker	"Sep 27, 2016"
GSM2328559	UKID74 (5779)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328559/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190736	SRX2190736	Joseph R Ecker	"Sep 27, 2016"
GSM2328560	Ty-1 (5784)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328560/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190737	SRX2190737	Joseph R Ecker	"Sep 27, 2016"
GSM2328561	UKID107 (5811)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328561/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190738	SRX2190738	Joseph R Ecker	"Sep 27, 2016"
GSM2328562	UKID114 (5818)-2	SRA	Arabidopsis thaliana	1	GPL17639	GSE43857	TSV;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2328nnn/GSM2328562/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2190739	SRX2190739	Joseph R Ecker	"Sep 27, 2016"
